date,Value,consumption_expenditure,unemployment,Inflation,interest_rate
31-03-1961,304048.4,171439.6,7.4,1.23,3.46
30-06-1961,307436.4,173905.6,7.4,1.23,3.63
30-09-1961,312836.4,177112.8,6.8,0.81,3.5
31-12-1961,318460.8,179929.6,6.2,0.82,3.83
31-03-1962,323214.8,183204,5.9,1.11,4
30-06-1962,325368.4,184400.4,5.9,1.21,4
30-09-1962,328407.6,186320,5.6,1.42,4
31-12-1962,330279.6,187974.4,5.5,1.62,4
31-03-1963,335759.2,191590.4,5.8,1.72,4
30-06-1963,339891.6,194553.6,5.8,1.82,4
30-09-1963,342416.8,196881.2,5.5,1.71,3.75
31-12-1963,346850.8,199589.6,5.2,1.81,3.54
31-03-1964,354386.4,204642.4,5,1.71,3.5
30-06-1964,358514.8,207399.6,4.9,1.7,3.75
30-09-1964,362879.6,211242,4.7,1.8,4
31-12-1964,365922.8,214040,4.4,1.8,4
31-03-1965,374026.4,219504,4.2,2,4
30-06-1965,377317.2,222855.2,4.1,2.3,4.17
30-09-1965,383182.4,226875.6,3.9,2.5,4.5
31-12-1965,389656.4,231506,3.7,2.81,4.5
31-03-1966,398578.4,237581.6,3.6,3.42,4.5
30-06-1966,401880.8,240186,3.5,3.94,4.5
30-09-1966,406164,243171.6,3.5,4.04,4.75
31-12-1966,408332,245224.4,3.6,3.63,5
31-03-1967,411995.6,248554.8,4,3.52,5.25
30-06-1967,413812.4,250629.6,4.2,3.63,5.25
30-09-1967,416806.8,253240,4.5,3.62,5
31-12-1967,420332,256372.4,4.7,3.93,4.75
31-03-1968,427771.6,261766.4,4.9,4.03,4.75
30-06-1968,431962.4,265882,5,4.13,4.75
30-09-1968,436323.2,269550.8,5,4.23,5.25
31-12-1968,440336,272898,4.7,4.12,5.58
31-03-1969,445946,277180,4.7,4.32,6
30-06-1969,449010.4,280209.6,4.6,4.95,6
30-09-1969,452178.8,283120,4.8,4.95,6
31-12-1969,453988,284687.2,4.8,4.54,6.5
31-03-1970,455829.2,286469.6,5.1,4.54,6.75
30-06-1970,457582.4,288924.4,5.9,4.13,7
30-09-1970,460676.8,292026,6.5,3.32,7.17
31-12-1970,465360.8,296236.4,6.2,2.71,7.5
31-03-1971,474812.8,302660,6.4,2.2,7.5
30-06-1971,479639.2,306380,6.4,2.3,7.5
30-09-1971,484822.4,310842.8,6.6,4.02,7.5
31-12-1971,487408,313426,6.2,5.15,7.5
31-03-1972,494498.4,319400,6.2,4.95,7
30-06-1972,500212.8,324140,6.2,4.95,6.5
30-09-1972,502947.6,327420,6.3,4.94,6
31-12-1972,509827.6,332900,6,5.14,6
31-03-1973,521570.4,342460,5.8,6.25,6
30-06-1973,526227.6,346540,5.5,7.66,6
30-09-1973,533966.4,352320,5.4,8.27,6.5
31-12-1973,539424.8,356400,5.4,9.18,7
31-03-1974,547226.4,361620,5.4,10.28,7.5
30-06-1974,549635.6,364580,5.4,10.99,8
30-09-1974,551378,366960,5.4,10.89,7.83
31-12-1974,551221.2,367620,5.5,11.29,7.5
31-03-1975,553956.4,372020,6.9,11.28,7
30-06-1975,556396.4,375840,7.2,10.98,6.25
30-09-1975,559792,380380,7.1,10.68,5.75
31-12-1975,564016.8,384660,6.9,9.88,5.25
31-03-1976,574636.8,393520,7,9.17,4.75
30-06-1976,578036.4,396780,7.1,8.07,4.75
30-09-1976,580555.2,399040,7.3,6.56,4.5
31-12-1976,586323.2,403420,7.4,5.96,4.5
31-03-1977,586520.4,404620,7.9,6.56,4.5
30-06-1977,589723.2,407880,8,7.57,4.5
30-09-1977,592186,410180,8.2,7.97,5
31-12-1977,595356.4,413160,8.3,8.77,5.5
31-03-1978,598284.4,415980,8.4,8.77,6
30-06-1978,601394,419100,8.5,8.97,6.5
30-09-1978,611414.4,426240,8.4,8.96,7.17
31-12-1978,614911.2,429060,8.1,8.66,7.5
31-03-1979,620455.6,433400,7.9,9.16,7.5
30-06-1979,623405.6,435940,7.5,9.16,8
30-09-1979,622830.4,436560,7.3,8.95,8.25
31-12-1979,624700.8,437880,7.1,9.65,8.25
31-03-1980,628372.4,440360,7.3,9.45,8.75
30-06-1980,624640.4,439200,7.5,9.85,9.5
30-09-1980,629471.2,442960,7.5,10.24,9.5
31-12-1980,635384.4,447600,7.2,11.04,9.5
31-03-1981,643534.8,454260,7.2,11.94,9
30-06-1981,643806.8,455500,7,12.54,8.25
30-09-1981,637318.4,451520,7.4,12.43,8.25
31-12-1981,632426.8,448160,8.2,12.03,8.5
31-03-1982,625902.4,444400,9,11.53,9.25
30-06-1982,619865.6,440440,10.3,11.53,10.25
30-09-1982,615178.4,437140,11.6,10.73,10.25
31-12-1982,610080,433400,12.3,9.62,10.75
31-03-1983,616016.4,438340,12.5,8.02,11.5
30-06-1983,625624.4,445100,12.1,6.01,12
30-09-1983,634789.6,451400,11.5,5.11,13
31-12-1983,642270.4,456860,11.1,4.61,14
